year,measles_cases_total,conflict_events_total,conflict_fatalities_best,countries
1989,3202187.0,2624.0,67711.0,272
1990,2425980.0,3202.0,95744.0,270
1991,2529808.0,2870.0,84397.0,271
1992,2794012.0,7333.0,76109.0,272
1993,2146816.0,6828.0,74221.0,272
1994,1702139.0,7569.0,824156.0,271
1995,1339944.0,4697.0,62841.0,272
1996,1638761.0,3294.0,88000.0,271
1997,1536382.0,3007.0,66474.0,272
1998,1326271.0,3787.0,61643.0,272
1999,1457258.0,4412.0,101106.0,272
2000,1628471.0,5725.0,94335.0,271
2001,1616760.0,4363.0,38332.0,271
2002,1096030.0,7467.0,42050.0,269
2003,1265157.0,6423.0,40957.0,271
2004,914773.0,7533.0,36825.0,269
2005,1082429.0,6125.0,21041.0,269
2006,657028.0,5604.0,28354.0,268
2007,496605.0,6927.0,29113.0,269
2008,485028.0,6715.0,39991.0,268
2009,472940.0,7146.0,50611.0,269
2010,633398.0,7885.0,34140.0,269
2011,649133.0,7715.0,41251.0,269
2012,393179.0,18540.0,90759.0,270
2013,526059.0,24521.0,115131.0,269
2014,521307.0,25940.0,151630.0,268
2015,380746.0,19875.0,131906.0,268
2016,237459.0,17374.0,116539.0,268
2017,318515.0,16304.0,113445.0,271
2018,683869.0,13510.0,89223.0,272
2019,1717714.0,13841.0,78295.0,271
2020,310093.0,13432.0,104194.0,269
2021,239868.0,17254.0,234846.0,270
2022,364352.0,20774.0,309636.0,270
2023,1252806.0,26486.0,161237.0,270
2024,1317327.0,28816.0,160900.0,271
